Country,Continent,ISO_Code,Level,GDLCODE,Region,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Argentina","America","ARG","National","ARGt","Total",8,8,8,8,8,9,9,10,10,8,10,11,10,11,11,12,12,13,11,13,12,12,11
"Brazil","America","BRA","National","BRAt","Total",36,38,40,44,46,46,48,52,54,52,56,56,56,57,57,57,57,59,57,58,61,62,62
"Canada","America","CAN","National","CANt","Total",4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Chile","America","CHL","National","CHLt","Total",29,27,27,27,28,28,28,29,30,29,30,32,34,36,25,24,24,24,25,25,24,25,25
"Mexico","America","MEX","National","MEXt","Total",50,48,48,48,49,50,52,50,50,46,49,49,47,47,45,46,44,47,45,46,41,40,42
