Country,Continent,ISO_Code,Level,GDLCODE,Region,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Argentina","America","ARG","National","ARGt","Total",5603,5413,5098,5563,6171,6344,6733,7143,7359,6804,7356,7702,7754,7996,7830,8100,7999,7842,7727,7374,6824,7527,7660
"Brazil","America","BRA","National","BRAt","Total",11920,11983,12054,11867,12599,12568,12762,13405,14010,13025,14881,15650,16807,17487,18286,17381,16224,16789,16025,15937,15233,17354,16042
"Canada","America","CAN","National","CANt","Total",8474,8473,8682,9162,9085,9062,8974,9486,9069,8617,8746,8945,8941,9152,9434,9463,9414,9570,9677,9422,8534,8828,9262
"Chile","America","CHL","National","CHLt","Total",12526,12482,12498,13283,14037,14076,14269,16370,16710,15860,17643,18582,16176,17454,16394,16984,17639,17924,17962,18629,17160,18934,18824
"Mexico","America","MEX","National","MEXt","Total",55278,54841,56682,58089,60611,61913,65270,65304,65454,63301,65933,67101,68969,66433,63776,66096,66186,67617,63019,63452,56506,60217,66606
