Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Argentina","America","ARG","National","ARGt","Total",60.83,62.39,63.22,59.99,59.29,55.66,58.44,60.30,61.39,60.50,61.88,62.91,61.48,57.02,58.87,57.84,57.14,57.90,56.14,53.48,57.13,56.73,57.12,54.93,59.08,60.23,61.17,59.55,58.08,57.04,53.68,56.01,52.77
"Brazil","America","BRA","National","BRAt","Total",73.92,74.04,75.08,72.88,74.11,73.54,74.47,73.58,72.65,72.96,75.16,73.57,72.86,72.02,73.07,72.42,72.99,71.36,72.68,75.06,71.52,73.36,70.30,72.43,72.16,71.29,71.02,71.34,72.95,71.36,70.64,70.83,71.75
"Canada","America","CAN","National","CANt","Total",71.81,71.72,72.58,72.87,72.04,72.71,73.24,73.33,72.84,72.42,73.20,72.58,72.82,72.48,73.14,73.35,73.00,72.77,72.79,73.12,73.70,73.23,72.88,73.07,73.22,72.41,73.95,72.50,72.18,73.20,73.29,72.73,72.38
"Chile","America","CHL","National","CHLt","Total",63.94,64.56,65.35,64.07,63.71,62.13,61.95,64.01,62.52,63.43,64.04,64.58,64.56,62.95,63.95,63.47,63.53,63.05,62.75,62.32,62.62,63.21,63.46,62.28,61.60,60.98,61.75,62.90,62.12,59.98,60.80,61.39,61.13
"Mexico","America","MEX","National","MEXt","Total",64.93,63.40,66.22,62.05,61.69,61.03,60.53,62.42,59.40,59.67,60.87,62.25,61.85,61.38,63.32,61.02,61.76,62.00,60.01,60.69,61.21,58.31,60.84,61.21,62.42,65.27,62.76,60.91,63.25,61.82,60.72,60.63,60.92
