Country,Continent,ISO_Code,Level,GDLCODE,Region,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Argentina","America","ARG","National","ARGt","Total",0.034,0.033,0.034,0.027,0.026,0.026,0.026,0.028,0.024,0.024,0.025,0.024,0.027,0.022,0.031,0.030,0.029,0.029,0.026,0.024,0.020,0.021,0.019
"Brazil","America","BRA","National","BRAt","Total",0.051,0.045,0.046,0.044,0.049,0.047,0.048,0.044,0.051,0.054,0.046,0.052,0.041,0.048,0.045,0.043,0.044,0.046,0.047,0.043,0.045,0.045,0.047
"Canada","America","CAN","National","CANt","Total",0.028,0.026,0.028,0.028,0.028,0.030,0.028,0.029,0.029,0.028,0.029,0.030,0.029,0.029,0.030,0.028,0.029,0.028,0.029,0.030,0.029,0.029,0.030
"Chile","America","CHL","National","CHLt","Total",0.044,0.045,0.049,0.040,0.041,0.046,0.047,0.035,0.042,0.044,0.038,0.039,0.042,0.038,0.042,0.042,0.033,0.045,0.041,0.036,0.038,0.032,0.037
"Mexico","America","MEX","National","MEXt","Total",0.029,0.030,0.030,0.031,0.030,0.030,0.033,0.033,0.035,0.029,0.037,0.030,0.030,0.039,0.035,0.035,0.034,0.033,0.034,0.030,0.031,0.034,0.030
