Country,Continent,ISO_Code,Level,GDLCODE,Region,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Argentina","America","ARG","National","ARGt","Total",14.71,15.44,15.25,15.71,15.56,15.31,15.93,14.88,15.77,15.93,15.29,15.52,16.03,15.81,15.85,15.94,15.36,15.99,15.78,15.83,16.09,15.97,15.60
"Brazil","America","BRA","National","BRAt","Total",23.98,24.40,24.67,24.55,24.35,24.63,24.44,24.57,24.26,24.49,24.75,24.27,24.71,24.59,24.67,25.15,25.04,24.85,24.65,25.08,24.61,24.48,24.21
"Canada","America","CAN","National","CANt","Total",0.097,1.125,-0.248,0.259,-0.321,0.945,1.728,0.138,0.038,0.016,2.081,0.714,1.278,0.182,-0.085,0.566,1.257,0.773,-0.041,0.022,0.678,1.457,0.600
"Chile","America","CHL","National","CHLt","Total",9.191,9.535,9.272,9.873,9.827,9.486,9.948,8.968,9.767,9.654,9.240,9.456,9.815,9.763,9.611,10.09,10.35,9.816,9.798,10.20,10.16,9.977,9.418
"Mexico","America","MEX","National","MEXt","Total",20.65,20.54,20.72,20.79,20.36,20.90,20.82,20.64,20.57,21.07,20.34,21.07,20.96,20.78,20.81,20.99,21.06,21.12,20.89,21.33,21.43,21.06,20.91
