Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2000,1.966982132,1.801990188,,139
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2001,1.856252103,1.71741929,,134
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2002,1.750830636,1.762211939,,139
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2003,1.641194389,1.681337908,,134
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2004,1.546056538,1.614873331,,130
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2005,1.686637513,1.771239281,,144
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2006,1.373901755,1.498320876,,123
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2007,1.580444674,1.773294011,,147
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2008,1.4565731,1.684025566,,141
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2009,1.294729692,1.572505974,,133
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2010,1.385905507,1.650396991,,141
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2011,1.462738138,1.854331161,,160
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2012,1.534155581,2.054576791,,179
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2013,1.710899268,2.228185397,,196
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2014,1.244765882,1.699480713,,151
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2015,1.243576962,1.76015837,,158
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2016,1.451772095,2.058181829,,187
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2017,1.056805974,1.603294119,,148
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2018,1.409156506,2.106914302,,198
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2019,1.217033442,1.811678151,,173
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2020,1.223544467,1.94119558,,187
1,"Lip,  oral cavity and pharynx ",152,Chile,1,1,2021,1.418871349,2.243504615,,217
10,Larynx,152,Chile,1,1,2000,1.25809116,1.205648111,,93
10,Larynx,152,Chile,1,1,2001,1.291803969,1.281656187,,100
10,Larynx,152,Chile,1,1,2002,1.362690053,1.293133941,,102
10,Larynx,152,Chile,1,1,2003,1.308316299,1.317466271,,105
10,Larynx,152,Chile,1,1,2004,1.247095562,1.354009178,,109
10,Larynx,152,Chile,1,1,2005,1.296692887,1.402231097,,114
10,Larynx,152,Chile,1,1,2006,1.184172699,1.327780288,,109
10,Larynx,152,Chile,1,1,2007,1.169089263,1.423460499,,118
10,Larynx,152,Chile,1,1,2008,1.061023812,1.254061592,,105
10,Larynx,152,Chile,1,1,2009,1.216825376,1.596152681,,135
10,Larynx,152,Chile,1,1,2010,0.9856456875,1.287543752,,110
10,Larynx,152,Chile,1,1,2011,1.056295078,1.41392751,,122
10,Larynx,152,Chile,1,1,2012,1.077600824,1.469194577,,128
10,Larynx,152,Chile,1,1,2013,0.9608782683,1.295985384,,114
10,Larynx,152,Chile,1,1,2014,1.00317848,1.429364573,,127
10,Larynx,152,Chile,1,1,2015,1.010350801,1.470512056,,132
10,Larynx,152,Chile,1,1,2016,0.7822241783,1.188682553,,108
10,Larynx,152,Chile,1,1,2017,0.8501098313,1.310801273,,121
10,Larynx,152,Chile,1,1,2018,0.8085543244,1.276917759,,120
10,Larynx,152,Chile,1,1,2019,0.6535183083,1.110045572,,106
10,Larynx,152,Chile,1,1,2020,0.6943645347,1.183402653,,114
10,Larynx,152,Chile,1,1,2021,0.7317271746,1.219970251,,118
106,Colorectum,152,Chile,1,1,2000,7.077591906,6.430123261,,496
106,Colorectum,152,Chile,1,1,2001,7.64370444,7.446422446,,581
106,Colorectum,152,Chile,1,1,2002,7.009590063,7.061525538,,557
106,Colorectum,152,Chile,1,1,2003,7.739011687,7.904797629,,630
106,Colorectum,152,Chile,1,1,2004,7.338958174,7.925301425,,638
106,Colorectum,152,Chile,1,1,2005,7.742812468,8.622491221,,701
106,Colorectum,152,Chile,1,1,2006,7.450268187,8.697569961,,714
106,Colorectum,152,Chile,1,1,2007,7.302960253,8.950912628,,742
106,Colorectum,152,Chile,1,1,2008,7.766523927,9.518924655,,797
106,Colorectum,152,Chile,1,1,2009,7.705300648,9.801559796,,829
106,Colorectum,152,Chile,1,1,2010,8.418787127,10.97923672,,938
106,Colorectum,152,Chile,1,1,2011,8.228276558,10.97532256,,947
106,Colorectum,152,Chile,1,1,2012,8.452049892,11.6272977,,1013
106,Colorectum,152,Chile,1,1,2013,8.843308265,12.33459773,,1085
106,Colorectum,152,Chile,1,1,2014,9.383245055,13.56208119,,1205
106,Colorectum,152,Chile,1,1,2015,9.575719354,13.95872429,,1253
106,Colorectum,152,Chile,1,1,2016,9.280861162,13.95601368,,1268
106,Colorectum,152,Chile,1,1,2017,9.104329137,14.10465502,,1302
106,Colorectum,152,Chile,1,1,2018,9.800922616,15.2698082,,1435
106,Colorectum,152,Chile,1,1,2019,9.960279402,15.81291334,,1510
106,Colorectum,152,Chile,1,1,2020,10.37303582,16.88943962,,1627
106,Colorectum,152,Chile,1,1,2021,11.45458411,18.98191001,,1836
11,Lung,152,Chile,1,1,2000,17.42628356,16.50311877,,1273
11,Lung,152,Chile,1,1,2001,17.864219,17.03321072,,1329
11,Lung,152,Chile,1,1,2002,17.1016388,17.10233025,,1349
11,Lung,152,Chile,1,1,2003,15.92718517,16.43696015,,1310
11,Lung,152,Chile,1,1,2004,16.97098319,18.13626972,,1460
11,Lung,152,Chile,1,1,2005,16.49808812,18.17980317,,1478
